date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:56	114211/114211	---MCZ	200	added ('OK')	text/html	etag:W/%22bb27eda50b7d9d51f4d8996bda87ff86%22	https://www.gob.pe/8998?colapsable_abierto=5	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8998ece5.html	(from https://www.gob.pe/coronavirus)
08:54:56	72553/72553	---MCZ	200	added ('OK')	text/html	etag:W/%22010c12e99a695d4e923becfa9b2935d3%22	https://www.gob.pe/institucion/midis/normas-legales/473219-066-2020-midis	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/midis/normas-legales/473219-066-2020-midis.html	(from https://www.gob.pe/coronavirus)
08:54:57	72181/72181	---MCZ	200	added ('OK')	text/html	etag:W/%22ab4f3974b92a5d02def9f64aff5d5666%22	https://www.gob.pe/institucion/midis/normas-legales/466415-050-2020-midis-p65-de	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/midis/normas-legales/466415-050-2020-midis-p65-de.html	(from https://www.gob.pe/coronavirus)
08:54:57	114251/114251	---MCZ	200	added ('OK')	text/html	etag:W/%22c1904cab89e065307644f0638dc6babd%22	https://www.gob.pe/8998?colapsable_abierto=7	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/899817bb.html	(from https://www.gob.pe/coronavirus)
08:54:57	114190/114190	---MCZ	200	added ('OK')	text/html	etag:W/%22a85b11bd0fc4e83a70cc3386d42290a6%22	https://www.gob.pe/8998	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8998.html	(from https://www.gob.pe/coronavirus)
08:54:58	86949/86949	---MCZ	200	added ('OK')	text/html	etag:W/%229038f8ec426a77de9ac81347ebff05dc%22	https://www.gob.pe/busquedas?contenido[]=noticias&reason=sheet&sheet=1&term=coronavirus	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/busquedas58c9.html	(from https://www.gob.pe/coronavirus)
08:54:59	71509/71509	---MCZ	200	added ('OK')	text/html	etag:W/%2297383fdf0e45f536030693ef6ed05029%22	https://www.gob.pe/institucion/minsa/colecciones/706-documentos-mensajes-y-consejos-frente-al-coronavirus-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minsa/colecciones/706-documentos-mensajes-y-consejos-frente-al-coronavirus-covid-19.html	(from https://www.gob.pe/coronavirus)
08:54:59	77794/77794	---MCZ	200	added ('OK')	text/html	etag:W/%22e62456182a92a85e81a16134073a939d%22	https://www.gob.pe/institucion/pcm/colecciones/787-normativa-sobre-estado-de-emergencia-por-coronavirus	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/pcm/colecciones/787-normativa-sobre-estado-de-emergencia-por-coronavirus.html	(from https://www.gob.pe/coronavirus)
08:54:59	23697/23697	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%229c94ade5f275bd251eccd5959b4305bc%22	https://www.gob.pe/institucion/cultura/campa%c3%b1as/872-acciones-contra-el-coronavirus-lenguas-originarias	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/cultura/campa%c3%b1as/872-acciones-contra-el-coronavirus-lenguas-originarias.html	(from https://www.gob.pe/coronavirus)
08:55:00	78485/78485	---MCZ	200	added ('OK')	text/html	etag:W/%22945dfb6aa1a245a1d9f6601c7f3c92b5%22	https://www.gob.pe/8829	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8829.html	(from https://www.gob.pe/coronavirus)
08:55:00	97737/97737	---M-Z	200	added ('OK')	application/javascript	etag:%221dc37899f984d453c1d3d8179829f041+gzip%22	https://platform.twitter.com/widgets.js	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/platform.twitter.com/widgets.js	(from https://www.gob.pe/coronavirus)
